id,description,hint,difficulty,volume,chapter,section
Graphical Limit Analysis,Determining limits by examining the height a graph approaches as x nears a point.,"Trace along the curve toward the point; look at the y-coordinate the graph is heading toward, ignoring holes or jumps.",2,1,Limits,2.2 The Limit of a Function
Limits at Discontinuities,"Behavior of limits at points where the function has holes, jumps, or vertical asymptotes.",The limit can exist even when f(a) is undefined; check if both sides approach the same finite value.,3,1,Limits,2.2 The Limit of a Function
Infinite Limits,When f(x) grows without bound (approaches ±∞) as x approaches a finite value.,"Look for vertical asymptotes; if f(x) increases or decreases without bound, write lim = ∞ or -∞.",3,1,Limits,2.2 The Limit of a Function
Limit Notation,"The symbolic representation lim(x→a) f(x) = L, including variants for one-sided and infinite limits.",Read 'lim(x→a) f(x) = L' as 'f(x) approaches L as x approaches a'; the arrow shows direction.,1,1,Limits,2.2 The Limit of a Function
Limits of Piecewise Functions,Evaluating limits at boundary points where the function formula changes.,"Apply the appropriate piece formula for each one-sided limit, then check if they match.",3,1,Limits,2.2 The Limit of a Function
Function Definition and Notation,"A function is a rule that assigns each element in the domain exactly one element in the range, written as f(x) or y = f(x).",Check if each input value produces exactly one output value; vertical line test works on graphs.,1,1,Functions and Graphs,1.1 Review of Functions
Domain and Range,"The domain is the set of all possible input values for a function, while the range is the set of all possible output values.","For domain, find x-values that don't cause division by zero or negatives under even roots; range follows from domain.",1,1,Functions and Graphs,1.1 Review of Functions
Function Composition,Function composition (f ∘ g)(x) = f(g(x)) means applying one function to the result of another function.,"Work from inside out: first evaluate the inner function g(x), then use that result as input for f.",2,1,Functions and Graphs,1.1 Review of Functions
Even and Odd Functions,A function is even if f(-x) = f(x) for all x (symmetric about y-axis) and odd if f(-x) = -f(x) (symmetric about origin).,Substitute -x into the function and simplify; compare the result to the original function or its negative.,2,1,Functions and Graphs,1.1 Review of Functions
Vertical Line Test,A graph represents a function if and only if no vertical line intersects the graph more than once.,"Imagine or draw vertical lines through the graph; if any line hits two or more points, it's not a function.",1,1,Functions and Graphs,1.1 Review of Functions
Function Transformations,"Transformations including vertical/horizontal shifts, reflections, and stretching/compression modify the graph of a parent function.",Changes inside f(x) affect horizontal direction (opposite of what you expect); changes outside affect vertical direction directly.,2,1,Functions and Graphs,1.1 Review of Functions
Inverse Functions,"A function f has an inverse f⁻¹ if f⁻¹(f(x)) = x and f(f⁻¹(x)) = x; graphically, inverse functions reflect over the line y = x.","To find an inverse algebraically, swap x and y then solve for y; only one-to-one functions have inverses.",3,1,Functions and Graphs,1.1 Review of Functions
One-to-One Functions,"A function is one-to-one if each output value corresponds to exactly one input value, verifiable by the horizontal line test.","Use the horizontal line test: if any horizontal line intersects the graph more than once, the function is not one-to-one.",2,1,Functions and Graphs,1.1 Review of Functions
Radian Measure,An angle measurement where one radian is the angle subtended by an arc length equal to the radius of a circle.,"Remember that π radians equals 180 degrees, so multiply degrees by π/180 to convert to radians.",1,1,Functions and Graphs,1.3 Trigonometric Functions
Unit Circle Definition,The definition of trigonometric functions using coordinates of points on a circle of radius 1 centered at the origin.,"For angle θ, the point (cos θ, sin θ) lies on the unit circle, making the x-coordinate cosine and y-coordinate sine.",2,1,Functions and Graphs,1.3 Trigonometric Functions
Sine and Cosine Functions,The fundamental trigonometric functions where sin θ gives the y-coordinate and cos θ gives the x-coordinate on the unit circle.,Sketch the unit circle and mark the angle from the positive x-axis to find the coordinates directly.,2,1,Functions and Graphs,1.3 Trigonometric Functions
Tangent and Cotangent Functions,Trigonometric functions defined as tan θ = sin θ/cos θ and cot θ = cos θ/sin θ.,"Tangent is undefined when cosine equals zero (at odd multiples of π/2), so check the denominator first.",2,1,Functions and Graphs,1.3 Trigonometric Functions
Secant and Cosecant Functions,Reciprocal trigonometric functions defined as sec θ = 1/cos θ and csc θ = 1/sin θ.,"These functions are undefined wherever their reciprocals equal zero, creating vertical asymptotes.",2,1,Functions and Graphs,1.3 Trigonometric Functions
Periodicity of Trigonometric Functions,"The property that trigonometric functions repeat their values at regular intervals, with sine and cosine having period 2π.",Use the fact that sin(θ + 2π) = sin θ to simplify expressions by subtracting multiples of 2π from large angles.,2,1,Functions and Graphs,1.3 Trigonometric Functions
Pythagorean Identities,"Fundamental trigonometric identities including sin²θ + cos²θ = 1, derived from the unit circle.","When you see sin²θ or cos²θ, try substituting using sin²θ = 1 - cos²θ to simplify expressions.",3,1,Functions and Graphs,1.3 Trigonometric Functions
Graphs of Trigonometric Functions,"The visual representations of sine, cosine, and tangent functions showing their periodic behavior and key features like amplitude and period.","Start by plotting key points at 0, π/2, π, 3π/2, and 2π, then connect them with the appropriate wave shape.",2,1,Functions and Graphs,1.3 Trigonometric Functions
Domain and Range of Trigonometric Functions,"The sets of allowable inputs and corresponding outputs for each trigonometric function, with sine and cosine having range [-1, 1].","Check where denominators become zero to find excluded domain values for tangent, cotangent, secant, and cosecant.",2,1,Functions and Graphs,1.3 Trigonometric Functions
Horizontal Line Test,A function is one-to-one if every horizontal line intersects its graph at most once.,"Draw horizontal lines across the graph; if any line hits the curve twice, the function is not one-to-one.",1,1,Functions and Graphs,1.4 Inverse Functions
Inverse Function Definition,"A function f⁻¹ that reverses the mapping of f, where f⁻¹(f(x)) = x and f(f⁻¹(x)) = x.","To find an inverse, swap x and y in the equation, then solve for y.",2,1,Functions and Graphs,1.4 Inverse Functions
Domain and Range of Inverses,"The domain of f⁻¹ equals the range of f, and the range of f⁻¹ equals the domain of f.","If (a,b) is on the graph of f, then (b,a) is on the graph of f⁻¹.",2,1,Functions and Graphs,1.4 Inverse Functions
Reflection Property of Inverses,The graph of f⁻¹ is the reflection of the graph of f across the line y = x.,"Plot several points on f, then swap coordinates to get points on f⁻¹.",2,1,Functions and Graphs,1.4 Inverse Functions
Restricting Domains for Invertibility,A non-one-to-one function can be made invertible by restricting its domain to a one-to-one portion.,"For functions like x², restrict to x ≥ 0 to make it one-to-one.",3,1,Functions and Graphs,1.4 Inverse Functions
Verifying Inverse Functions Algebraically,Verify two functions are inverses by showing f(g(x)) = x and g(f(x)) = x for all appropriate x.,Compose both ways and simplify completely; both compositions must equal x.,2,1,Functions and Graphs,1.4 Inverse Functions
Finding Inverse Functions Algebraically,"To find f⁻¹, replace f(x) with y, swap x and y, then solve for y in terms of x.","Start by writing y = f(x), exchange x and y, then isolate the new y.",3,1,Functions and Graphs,1.4 Inverse Functions
Inverse Trigonometric Functions,"Functions like arcsin, arccos, and arctan that reverse trigonometric functions on restricted domains.","Remember arcsin has range [-π/2, π/2] and arccos has range [0, π].",3,1,Functions and Graphs,1.4 Inverse Functions
Exponential Function Properties,"Exponential functions have form f(x) = b^x where b > 0, b ≠ 1, with domain all reals and range (0,∞).",Remember the base must be positive and not equal to 1; sketch y = 2^x to see why range is always positive.,1,1,Functions and Graphs,1.5 Exponential and Logarithmic Functions
Natural Exponential Function,"The function f(x) = e^x uses Euler's number e ≈ 2.718 as the base, appearing naturally in growth and decay.",Think of e^x as the 'natural' choice for continuous growth; its derivative equals itself.,1,1,Functions and Graphs,1.5 Exponential and Logarithmic Functions
Exponential Growth and Decay,Models of form f(t) = A·b^t describe growth (b > 1) or decay (0 < b < 1) over time.,Check whether your base is greater than or less than 1 to determine if quantity increases or decreases.,2,1,Functions and Graphs,1.5 Exponential and Logarithmic Functions
Logarithm as Inverse Exponential,"The logarithm log_b(x) is the inverse function of b^x, answering 'what power gives x?'","If you're stuck on log_2(8), ask yourself '2 to what power equals 8?'",2,1,Functions and Graphs,1.5 Exponential and Logarithmic Functions
Natural Logarithm Properties,"The natural logarithm ln(x) = log_e(x) is the inverse of e^x with domain (0,∞) and range all reals.",Remember ln and e^x undo each other: ln(e^x) = x and e^(ln x) = x for valid inputs.,2,1,Functions and Graphs,1.5 Exponential and Logarithmic Functions
Logarithmic Function Properties,"Key properties include log_b(xy) = log_b(x) + log_b(y), log_b(x/y) = log_b(x) - log_b(y), and log_b(x^r) = r·log_b(x).",Use these properties to break complex logarithms into simpler pieces; multiplication inside becomes addition outside.,3,1,Functions and Graphs,1.5 Exponential and Logarithmic Functions
Change of Base Formula,The formula log_b(x) = ln(x)/ln(b) converts any logarithm to natural logarithms for calculation.,"When your calculator only has ln, use this formula to compute log_b(x) by dividing two natural logs.",3,1,Functions and Graphs,1.5 Exponential and Logarithmic Functions
Graphs of Exponential Functions,"Exponential graphs pass through (0,1), are always positive, increase for b > 1, decrease for 0 < b < 1, with horizontal asymptote y = 0.","Plot the key point (0,1) first, then check if your base makes the function rise or fall as x increases.",2,1,Functions and Graphs,1.5 Exponential and Logarithmic Functions
Graphs of Logarithmic Functions,"Logarithmic graphs pass through (1,0), have domain (0,∞), vertical asymptote x = 0, and are reflections of exponential graphs over y = x.","Start by plotting (1,0) and drawing the vertical asymptote at x = 0; remember the graph only exists for positive x.",2,1,Functions and Graphs,1.5 Exponential and Logarithmic Functions
Tangent Line Problem,Finding the slope of a line that touches a curve at exactly one point without crossing it nearby.,"Start by calculating slopes of secant lines between the point of tangency and nearby points, then observe what happens as the nearby point gets closer.",1,1,Limits,2.1 A Preview of Calculus
Secant Line Approximation,A line through two points on a curve that approximates the tangent line as the points move closer together.,Calculate the slope using the difference quotient (f(x+h)-f(x))/h where h is the horizontal distance between points.,1,1,Limits,2.1 A Preview of Calculus
Instantaneous Rate of Change,"The rate at which a function is changing at a specific instant, found by taking the limit of average rates of change.","Think of this as your speedometer reading at one moment, not average speed over a trip—use limits to find it from average rates.",2,1,Limits,2.1 A Preview of Calculus
Area Under a Curve,"The region between a function and the x-axis over an interval, calculated by summing infinitely many infinitesimally thin rectangles.","Start by approximating with a finite number of rectangles, then increase the number of rectangles and observe the pattern as their width approaches zero.",2,1,Limits,2.1 A Preview of Calculus
Riemann Sum Approximation,A method of approximating area under a curve by summing the areas of rectangles with heights determined by function values.,"Divide your interval into n equal parts, calculate rectangle areas using function values at chosen points, then sum them up.",2,1,Limits,2.1 A Preview of Calculus
Differential Calculus Overview,"The branch of calculus concerned with rates of change, slopes of curves, and derivatives.",Focus on how limits transform the tangent line problem into a systematic method for finding instantaneous rates.,1,1,Limits,2.1 A Preview of Calculus
Integral Calculus Overview,"The branch of calculus concerned with accumulation, areas, and antiderivatives.","Recognize that finding area under curves requires summing infinitely many pieces, which is accomplished through limits.",1,1,Limits,2.1 A Preview of Calculus
Sum Law for Limits,The limit of a sum equals the sum of the limits: lim[f(x) + g(x)] = lim f(x) + lim g(x).,"Find the limit of each function separately, then add the results together.",1,1,Limits,2.3 The Limit Laws
Difference Law for Limits,The limit of a difference equals the difference of the limits: lim[f(x) - g(x)] = lim f(x) - lim g(x).,"Evaluate each limit individually, then subtract the second from the first.",1,1,Limits,2.3 The Limit Laws
Constant Multiple Law for Limits,The limit of a constant times a function equals the constant times the limit: lim[c·f(x)] = c·lim f(x).,"Factor out the constant, find the limit of the remaining function, then multiply by the constant.",1,1,Limits,2.3 The Limit Laws
Product Law for Limits,The limit of a product equals the product of the limits: lim[f(x)·g(x)] = lim f(x)·lim g(x).,"Calculate each limit separately, then multiply the results together.",1,1,Limits,2.3 The Limit Laws
Quotient Law for Limits,"The limit of a quotient equals the quotient of the limits when the denominator limit is nonzero: lim[f(x)/g(x)] = lim f(x)/lim g(x), provided lim g(x) ≠ 0.",Check that the denominator's limit is nonzero before dividing the limits separately.,2,1,Limits,2.3 The Limit Laws
Power Law for Limits,The limit of a power equals the power of the limit: lim[f(x)]^n = [lim f(x)]^n for any positive integer n.,"Find the limit of the base function first, then raise that result to the given power.",1,1,Limits,2.3 The Limit Laws
Root Law for Limits,The limit of a root equals the root of the limit: lim[f(x)]^(1/n) = [lim f(x)]^(1/n) when the root is defined.,"Evaluate the limit inside the radical first, then take the nth root if it exists.",2,1,Limits,2.3 The Limit Laws
Limit of Polynomial Functions,"For polynomial functions, the limit as x approaches a equals direct substitution: lim(x→a) p(x) = p(a).","For polynomials, simply substitute the value of a into the function to find the limit.",1,1,Limits,2.3 The Limit Laws
Limit of Rational Functions,"For rational functions p(x)/q(x), if q(a) ≠ 0, then lim(x→a) p(x)/q(x) = p(a)/q(a) by direct substitution.","Substitute the value directly, but first verify the denominator does not equal zero at that point.",2,1,Limits,2.3 The Limit Laws
Combining Multiple Limit Laws,Complex limit problems require sequential application of multiple limit laws in the correct order.,"Break down complex expressions into simpler parts, apply the appropriate law to each part, then combine results.",3,1,Limits,2.3 The Limit Laws
Continuity at a Point,"A function f is continuous at point a if lim(x→a) f(x) = f(a), requiring the limit exists, f(a) is defined, and they are equal.","Check three things: does f(a) exist, does the limit exist, and are they the same value?",1,1,Limits,2.4 Continuity
Discontinuity Types,"Discontinuities are classified as removable (hole), jump (different one-sided limits), or infinite (vertical asymptote).","Draw the graph and look for holes (removable), jumps (different left/right limits), or vertical asymptotes (infinite).",1,1,Limits,2.4 Continuity
One-Sided Continuity,"A function is continuous from the right at a if lim(x→a+) f(x) = f(a), and from the left if lim(x→a-) f(x) = f(a).","For endpoints of intervals, check only the appropriate one-sided limit equals the function value.",1,1,Limits,2.4 Continuity
Continuity on an Interval,"A function is continuous on an interval if it is continuous at every point in that interval, using appropriate one-sided limits at endpoints.",Check continuity at each interior point and use one-sided continuity at any endpoints.,1,1,Limits,2.4 Continuity
Continuity of Polynomial and Rational Functions,Polynomial functions are continuous everywhere; rational functions are continuous on their domains (wherever the denominator is nonzero).,"Polynomials never have discontinuities; for rational functions, just avoid division by zero.",1,1,Limits,2.4 Continuity
Continuity of Composite Functions,"If g is continuous at a and f is continuous at g(a), then the composition f∘g is continuous at a.","Check the inner function's continuity first, then check the outer function at the inner function's output value.",2,1,Limits,2.4 Continuity
Intermediate Value Theorem,"If f is continuous on [a,b] and N is between f(a) and f(b), then there exists c in (a,b) where f(c) = N.","To show an equation has a solution, find two points where the function is above and below your target value.",2,1,Limits,2.4 Continuity
Removing Discontinuities,A removable discontinuity at a can be eliminated by redefining f(a) to equal lim(x→a) f(x).,"Calculate the limit at the discontinuity; if it exists, redefine the function value to match that limit.",2,1,Limits,2.4 Continuity
Epsilon-Delta Definition of Limit,"A limit L exists at c if for every ε > 0, there exists δ > 0 such that |f(x) - L| < ε whenever 0 < |x - c| < δ.",Draw vertical bands at L ± ε and find a horizontal band around c that keeps outputs within those bounds.,8,1,Limits,2.5 The Precise Definition of a Limit
Epsilon as Error Tolerance,Epsilon (ε) represents how close we want f(x) to be to the limit value L.,Think of epsilon as your acceptable error: smaller epsilon means you demand the function gets closer to L.,6,1,Limits,2.5 The Precise Definition of a Limit
Delta as Input Constraint,Delta (δ) represents how close x must be to c to guarantee f(x) is within ε of L.,"After choosing epsilon, solve the inequality |f(x) - L| < ε for |x - c| to find a suitable delta.",7,1,Limits,2.5 The Precise Definition of a Limit
Proving Limits with Epsilon-Delta,"Formally proving a limit involves showing that for any given ε, you can find a corresponding δ that satisfies the definition.","Start by assuming ε is given, manipulate |f(x) - L| < ε algebraically to isolate |x - c|, then choose δ based on your work.",9,1,Limits,2.5 The Precise Definition of a Limit
One-Sided Epsilon-Delta Limits,One-sided limits use the epsilon-delta definition with the restriction that x approaches c from only one direction.,"For right-hand limits use 0 < x - c < δ, and for left-hand limits use 0 < c - x < δ in your proof.",8,1,Limits,2.5 The Precise Definition of a Limit
Geometric Interpretation of Epsilon-Delta,"The epsilon-delta definition creates a rectangular region where if x is within δ of c, then f(x) stays within ε of L.",Sketch horizontal lines at y = L ± ε and find vertical lines at x = c ± δ that keep the graph between the horizontal lines.,7,1,Limits,2.5 The Precise Definition of a Limit
Delta Depends on Epsilon,"The value of δ typically depends on the chosen ε, often requiring δ to be smaller as ε decreases.","When proving limits, express delta as a function of epsilon, like δ = ε/2 or δ = min(1, ε/3).",7,1,Limits,2.5 The Precise Definition of a Limit
Infinite Limits Precise Definition,"The limit of f(x) as x approaches c is infinity if for every M > 0, there exists δ > 0 such that f(x) > M whenever 0 < |x - c| < δ.",Replace the ε condition with requiring f(x) to exceed any large value M when x is close to c.,8,1,Limits,2.5 The Precise Definition of a Limit
Average Rate of Change,"The ratio of change in function values to change in input values over an interval, computed as [f(x+h)-f(x)]/h.",Draw a secant line connecting two points on the curve and find its slope using rise over run.,1,1,Derivatives,3.1 Defining the Derivative
Difference Quotient,The expression [f(x+h)-f(x)]/h that measures average rate of change and forms the basis of the derivative definition.,"Substitute x+h into the function, subtract f(x), then divide everything by h before taking the limit.",2,1,Derivatives,3.1 Defining the Derivative
Derivative at a Point,"The limit of the difference quotient as h approaches 0, representing the instantaneous rate of change at a specific x-value.",Simplify the difference quotient algebraically to cancel the h in the denominator before applying the limit.,3,1,Derivatives,3.1 Defining the Derivative
Derivative Function Notation,"Symbols f'(x), dy/dx, df/dx, or d/dx[f(x)] all representing the derivative as a function of x.",The prime notation f'(x) and Leibniz notation dy/dx are interchangeable ways to denote the same derivative.,1,1,Derivatives,3.1 Defining the Derivative
Differentiability at a Point,A function is differentiable at x=a if the limit defining f'(a) exists and is finite.,Check that both left-hand and right-hand limits of the difference quotient exist and are equal.,3,1,Derivatives,3.1 Defining the Derivative
Differentiability Implies Continuity,"If a function is differentiable at a point, it must also be continuous there, but continuity does not guarantee differentiability.",Remember that sharp corners and vertical tangents break differentiability even when the function is continuous.,3,1,Derivatives,3.1 Defining the Derivative
Tangent Line as Derivative Application,"The derivative f'(a) gives the slope of the tangent line to the curve at x=a, used in point-slope form.",Use the point-slope formula y - f(a) = f'(a)(x - a) with the derivative as the slope.,2,1,Derivatives,3.1 Defining the Derivative
Velocity as Derivative,"When position is s(t), the derivative s'(t) represents instantaneous velocity at time t.",Position's rate of change is velocity; differentiate the position function to find how fast location changes.,2,1,Derivatives,3.1 Defining the Derivative
Derivative Function Definition,The derivative f'(x) is defined as the limit of the difference quotient as h approaches zero for all x where the limit exists.,"Start with the difference quotient [f(x+h)-f(x)]/h and take the limit as h→0, treating x as a variable.",1,1,Derivatives,3.2 The Derivative as a Function
Differentiability on an Interval,A function is differentiable on an interval if its derivative exists at every point in that interval.,Check whether the derivative limit exists at each point; use one-sided derivatives at endpoints.,1,1,Derivatives,3.2 The Derivative as a Function
Non-Differentiable Points,"Points where a function has corners, cusps, vertical tangents, or discontinuities are non-differentiable.","Look for sharp turns, breaks, or vertical slopes where the left and right derivative limits don't match.",1,1,Derivatives,3.2 The Derivative as a Function
Higher-Order Derivatives,"The second derivative f''(x) is the derivative of f'(x), and higher derivatives follow by repeated differentiation.",Apply the derivative operation multiple times: differentiate the first derivative to get the second.,1,1,Derivatives,3.2 The Derivative as a Function
Derivative Notation Equivalence,"The notations f'(x), dy/dx, df/dx, and Dx[f] all represent the same derivative operation.",Prime notation f'(x) is convenient for functions; Leibniz notation dy/dx emphasizes the rate of change interpretation.,1,1,Derivatives,3.2 The Derivative as a Function
Graphing Derivative Functions,"The graph of f'(x) shows the slope of f(x) at each point, revealing where f is increasing, decreasing, or has horizontal tangents.","Where f has a horizontal tangent, f' crosses zero; steep sections of f correspond to large absolute values of f'.",1,1,Derivatives,3.2 The Derivative as a Function
Derivative of Power Functions,"For f(x) = x^n, the derivative is f'(x) = nx^(n-1), derived from the definition using algebraic manipulation.","Apply the difference quotient to (x+h)^n, expand using binomial theorem, and cancel the h in the denominator.",1,1,Derivatives,3.2 The Derivative as a Function
Derivative of Constant Functions,The derivative of any constant function f(x) = c is zero because there is no change in output.,"The difference quotient (c-c)/h equals zero, so the limit is zero regardless of x.",1,1,Derivatives,3.2 The Derivative as a Function
Constant Rule for Derivatives,"The derivative of a constant function is zero: if f(x) = c, then f'(x) = 0.","Remember that constants don't change, so their rate of change is always zero.",1,1,Derivatives,3.3 Differentiation Rules
Power Rule for Derivatives,The derivative of x^n is nx^(n-1): d/dx[x^n] = nx^(n-1) for any real number n.,"Bring the exponent down as a coefficient, then subtract 1 from the exponent.",2,1,Derivatives,3.3 Differentiation Rules
Constant Multiple Rule,The derivative of a constant times a function equals the constant times the derivative: d/dx[cf(x)] = c·f'(x).,"Factor out the constant first, then differentiate what remains.",2,1,Derivatives,3.3 Differentiation Rules
Sum Rule for Derivatives,The derivative of a sum equals the sum of derivatives: d/dx[f(x) + g(x)] = f'(x) + g'(x).,Differentiate each term separately and add the results together.,2,1,Derivatives,3.3 Differentiation Rules
Difference Rule for Derivatives,The derivative of a difference equals the difference of derivatives: d/dx[f(x) - g(x)] = f'(x) - g'(x).,Differentiate each term separately and subtract the results.,2,1,Derivatives,3.3 Differentiation Rules
Product Rule for Derivatives,"The derivative of a product is d/dx[f(x)g(x)] = f'(x)g(x) + f(x)g'(x), not the product of derivatives.","Use the pattern: first times derivative of second, plus second times derivative of first.",3,1,Derivatives,3.3 Differentiation Rules
Quotient Rule for Derivatives,The derivative of a quotient is d/dx[f(x)/g(x)] = [g(x)f'(x) - f(x)g'(x)]/[g(x)]^2.,"Remember 'low d-high minus high d-low, over low squared' as a mnemonic.",4,1,Derivatives,3.3 Differentiation Rules
Combining Differentiation Rules,Complex functions require applying multiple differentiation rules in sequence or simultaneously.,"Break the problem into parts, identify which rule applies to each part, then combine results.",3,1,Derivatives,3.3 Differentiation Rules
Derivative of Exponential Functions,"The derivative of e^x is e^x itself, and d/dx[a^x] = a^x·ln(a) for constant base a.",The natural exponential e^x is its own derivative; other bases need a ln(a) factor.,3,1,Derivatives,3.3 Differentiation Rules
Position-Velocity-Acceleration Relationship,"For position function s(t), velocity is v(t)=s'(t) and acceleration is a(t)=v'(t)=s''(t).","Take one derivative to get velocity, take another derivative of velocity to get acceleration.",1,1,Derivatives,3.4 Derivatives as Rates of Change
Marginal Cost in Economics,The marginal cost C'(x) approximates the cost of producing one additional unit when x units are already produced.,The derivative of the cost function tells you how much one more item will cost to produce.,1,1,Derivatives,3.4 Derivatives as Rates of Change
Population Growth Rate,The derivative P'(t) of a population function P(t) gives the instantaneous rate at which the population is changing at time t.,A positive derivative means population is growing; negative means declining; find magnitude for growth rate.,1,1,Derivatives,3.4 Derivatives as Rates of Change
Related Rates Setup,"When two quantities are related by an equation and both change with time, their derivatives are related through the chain rule.","Differentiate the entire equation with respect to time, treating all variables as functions of time.",2,1,Derivatives,3.4 Derivatives as Rates of Change
Speed versus Velocity Distinction,"Speed is the absolute value of velocity: speed = |v(t)|, so speed is always non-negative while velocity can be negative.","Velocity includes direction (sign matters); speed is just how fast, regardless of direction.",1,1,Derivatives,3.4 Derivatives as Rates of Change
Interpreting Sign of Derivative,"A positive derivative indicates the function is increasing, negative indicates decreasing, and zero indicates a possible local extremum or inflection point.",Check the sign of f'(a) to determine if f is going up or down at x=a.,1,1,Derivatives,3.4 Derivatives as Rates of Change
Units of Derivatives,"The units of f'(x) are the units of f divided by the units of x, reflecting rate of change interpretation.","If position is in meters and time in seconds, velocity has units meters/second.",1,1,Derivatives,3.4 Derivatives as Rates of Change
Derivative of Sine Function,"The derivative of sin(x) equals cos(x), proven using the limit definition and trigonometric identities.","Use the limit definition with sin(x+h) expanded via angle sum formula, then apply the special limits of sin(h)/h and (cos(h)-1)/h as h approaches zero.",1,1,Derivatives,3.5 Derivatives of Trigonometric Functions
Derivative of Cosine Function,"The derivative of cos(x) equals -sin(x), proven similarly to sine using limit definition.","Expand cos(x+h) using the angle sum formula, then factor and apply the same special trigonometric limits used for sine.",1,1,Derivatives,3.5 Derivatives of Trigonometric Functions
Special Trigonometric Limits,The fundamental limits lim(h→0) sin(h)/h = 1 and lim(h→0) (cos(h)-1)/h = 0 enable derivative proofs.,Memorize these two limits as they are essential for proving all trigonometric derivatives; use the squeeze theorem or geometric arguments to understand why they hold.,1,1,Derivatives,3.5 Derivatives of Trigonometric Functions
Derivative of Tangent Function,"The derivative of tan(x) equals sec²(x), derived using the quotient rule on sin(x)/cos(x).","Write tan(x) as sin(x)/cos(x) and apply the quotient rule, then simplify using the Pythagorean identity sin²(x) + cos²(x) = 1.",1,1,Derivatives,3.5 Derivatives of Trigonometric Functions
Derivative of Secant Function,"The derivative of sec(x) equals sec(x)tan(x), found by differentiating 1/cos(x) using the quotient rule.","Express sec(x) as 1/cos(x), apply the quotient rule with constant numerator, then rewrite in terms of secant and tangent.",1,1,Derivatives,3.5 Derivatives of Trigonometric Functions
Derivative of Cotangent Function,"The derivative of cot(x) equals -csc²(x), obtained from differentiating cos(x)/sin(x).","Write cot(x) as cos(x)/sin(x) and apply the quotient rule, simplifying the result using trigonometric identities.",1,1,Derivatives,3.5 Derivatives of Trigonometric Functions
Derivative of Cosecant Function,"The derivative of csc(x) equals -csc(x)cot(x), derived from differentiating 1/sin(x).","Express csc(x) as 1/sin(x) and use the quotient rule, then convert to cosecant and cotangent form.",1,1,Derivatives,3.5 Derivatives of Trigonometric Functions
