source,target,type,reason
Instantaneous Rate of Change,Limit of a Function,prerequisite,Instantaneous rate requires taking the limit of average rates as the time interval approaches zero.
Tangent Line Problem,Limit of a Function,prerequisite,Finding the tangent line slope requires evaluating the limit of secant line slopes.
Riemann Sum Approximation,Function Definition and Notation,prerequisite,Riemann sums evaluate functions at specific points to determine rectangle heights.
Area Under a Curve,Riemann Sum Approximation,uses,Area is calculated by taking the limit of Riemann sums as the number of rectangles increases.
Area Under a Curve,Limit of a Function,prerequisite,Finding exact area requires taking the limit of approximations as rectangle width approaches zero.
Differential Calculus Overview,Tangent Line Problem,uses,The tangent line problem is the foundational motivation for differential calculus.
Integral Calculus Overview,Area Under a Curve,uses,The area problem is the foundational motivation for integral calculus.
Sum Law for Limits,Limit of a Function,prerequisite,Understanding what a limit is must precede learning laws for computing limits.
Difference Law for Limits,Limit of a Function,prerequisite,Basic limit concept is necessary before applying arithmetic operations to limits.
Constant Multiple Law for Limits,Limit of a Function,prerequisite,Must understand limits before learning how constants interact with them.
Product Law for Limits,Limit of a Function,prerequisite,Requires understanding of what limits represent before multiplying them.
Quotient Law for Limits,Limit of a Function,prerequisite,Division of limits requires first understanding individual limits and their existence.
Power Law for Limits,Product Law for Limits,prerequisite,The power law is a repeated application of the product law.
Root Law for Limits,Power Law for Limits,related_to,"Roots are fractional powers, making these laws closely related."
Limit of Polynomial Functions,Sum Law for Limits,uses,Polynomial limits require the sum law to combine terms.
Limit of Polynomial Functions,Constant Multiple Law for Limits,uses,Each polynomial term involves a constant multiplied by a power of x.
Limit of Polynomial Functions,Power Law for Limits,uses,Polynomial terms involve powers of x requiring the power law.
Limit of Rational Functions,Quotient Law for Limits,uses,Rational functions are quotients requiring the quotient law when the denominator is nonzero.
Limit of Rational Functions,Limit of Polynomial Functions,prerequisite,"Rational functions are quotients of polynomials, so polynomial limits must be understood first."
Combining Multiple Limit Laws,Sum Law for Limits,uses,Complex expressions typically require combining addition with other operations.
Combining Multiple Limit Laws,Product Law for Limits,uses,Many expressions involve products that must be evaluated using the product law.
Combining Multiple Limit Laws,Quotient Law for Limits,uses,Complex limits often involve fractions requiring the quotient law.
Continuity at a Point,Limit of Rational Functions,prerequisite,Understanding how to evaluate limits is essential before checking if they equal function values.
One-Sided Continuity,Continuity at a Point,uses,One-sided continuity applies the continuity definition using one-sided limits instead of two-sided limits.
Discontinuity Types,Continuity at a Point,related_to,Discontinuities are classified by which part of the continuity definition fails.
Continuity on an Interval,Continuity at a Point,uses,Interval continuity requires point continuity at every point in the interval.
Continuity on an Interval,One-Sided Continuity,uses,Continuity on closed intervals requires one-sided continuity at endpoints.
Continuity of Polynomial and Rational Functions,Limit of Polynomial Functions,uses,Polynomial continuity follows because their limits always equal their function values.
Continuity of Polynomial and Rational Functions,Limit of Rational Functions,uses,Rational function continuity on their domain follows from limit properties.
Continuity of Composite Functions,Function Composition,prerequisite,Understanding function composition is necessary before analyzing continuity of composed functions.
Continuity of Composite Functions,Continuity at a Point,uses,Composite function continuity applies the point continuity definition to both component functions.
Intermediate Value Theorem,Continuity on an Interval,prerequisite,The IVT only applies when the function is continuous on the entire interval.
Removing Discontinuities,Discontinuity Types,uses,Only removable discontinuities can be eliminated by redefining the function value.
Epsilon as Error Tolerance,Epsilon-Delta Definition of Limit,prerequisite,Understanding epsilon as error tolerance is essential before grasping the full epsilon-delta definition.
Delta as Input Constraint,Epsilon-Delta Definition of Limit,prerequisite,Understanding delta as the input constraint completes the understanding of the epsilon-delta definition.
Epsilon-Delta Definition of Limit,Sum Law for Limits,prerequisite,The precise definition provides the rigorous foundation needed to prove limit laws like the sum law.
Geometric Interpretation of Epsilon-Delta,Epsilon-Delta Definition of Limit,related_to,The geometric view helps visualize what the algebraic definition means graphically.
Epsilon-Delta Definition of Limit,Proving Limits with Epsilon-Delta,prerequisite,You must understand the definition before you can construct proofs using it.
Delta Depends on Epsilon,Proving Limits with Epsilon-Delta,prerequisite,Recognizing that delta is a function of epsilon is crucial for constructing valid proofs.
Epsilon-Delta Definition of Limit,One-Sided Epsilon-Delta Limits,prerequisite,One-sided limits are a direct modification of the two-sided epsilon-delta definition.
Epsilon-Delta Definition of Limit,Infinite Limits Precise Definition,related_to,Infinite limits adapt the epsilon-delta framework by replacing epsilon with an unbounded growth condition.
Epsilon-Delta Definition of Limit,Continuity at a Point,prerequisite,The precise definition of continuity requires the epsilon-delta definition of limits at that point.
Average Rate of Change,Secant Line Approximation,uses,Average rate of change is computed as the slope of a secant line between two points.
Difference Quotient,Average Rate of Change,uses,The difference quotient is the algebraic formula for average rate of change.
Derivative at a Point,Difference Quotient,prerequisite,The derivative is defined as the limit of the difference quotient as h approaches zero.
Derivative at a Point,Instantaneous Rate of Change,uses,The derivative provides the precise value of instantaneous rate of change at a point.
Differentiability at a Point,Derivative at a Point,uses,Differentiability is determined by whether the derivative limit exists at that point.
Differentiability Implies Continuity,Differentiability at a Point,prerequisite,Understanding differentiability is necessary before exploring its relationship with continuity.
Differentiability Implies Continuity,Continuity at a Point,prerequisite,The theorem connects differentiability to the previously studied concept of continuity.
Tangent Line as Derivative Application,Derivative at a Point,uses,The derivative value serves as the slope in the tangent line equation.
Tangent Line as Derivative Application,Tangent Line Problem,uses,The derivative provides the solution to the classical tangent line problem.
Velocity as Derivative,Derivative at a Point,uses,Velocity is found by taking the derivative of the position function.
Derivative Function Definition,Derivative at a Point,prerequisite,The derivative function extends the derivative at a point concept to all points in the domain.
Derivative Function Definition,Difference Quotient,uses,The derivative function is defined as the limit of the difference quotient treating x as variable.
Differentiability on an Interval,Differentiability at a Point,prerequisite,Differentiability on an interval requires differentiability at each individual point in that interval.
Non-Differentiable Points,Differentiability at a Point,related_to,Understanding when differentiability fails clarifies the conditions required for differentiability.
Non-Differentiable Points,Differentiability Implies Continuity,related_to,"Discontinuities are one type of non-differentiable point, showing continuity is necessary but not sufficient."
Higher-Order Derivatives,Derivative Function Definition,uses,Higher-order derivatives apply the derivative operation repeatedly to the derivative function.
Derivative Notation Equivalence,Derivative Function Notation,prerequisite,Multiple equivalent notations build on basic derivative function notation conventions.
Graphing Derivative Functions,Derivative Function Definition,uses,Graphing the derivative requires understanding it as a function that outputs slopes.
Derivative of Power Functions,Derivative Function Definition,uses,The power rule is derived by applying the derivative definition to f(x) = x^n.
Derivative of Constant Functions,Derivative Function Definition,uses,The zero derivative of constants follows directly from applying the derivative definition.
Differentiability on an Interval,Continuity on an Interval,prerequisite,"Differentiability at each point implies continuity at each point, making continuity on an interval necessary."
Constant Rule for Derivatives,Derivative of Constant Functions,prerequisite,The constant rule is the formal statement of why constant functions have zero derivative.
Power Rule for Derivatives,Derivative of Power Functions,prerequisite,The power rule generalizes the specific power function derivatives to all real exponents.
Constant Multiple Rule,Derivative Function Definition,prerequisite,Understanding the derivative function is necessary before applying scalar multiplication properties.
Sum Rule for Derivatives,Derivative Function Definition,prerequisite,Must understand derivatives before learning how they behave under addition.
Sum Rule for Derivatives,Sum Law for Limits,related_to,The sum rule for derivatives follows from the sum law for limits in the derivative definition.
Difference Rule for Derivatives,Sum Rule for Derivatives,prerequisite,The difference rule is a direct consequence of the sum rule combined with the constant multiple rule.
Product Rule for Derivatives,Sum Rule for Derivatives,prerequisite,The product rule derivation requires applying the sum rule to expanded terms.
Quotient Rule for Derivatives,Product Rule for Derivatives,prerequisite,The quotient rule can be derived using the product rule with negative exponents.
Combining Differentiation Rules,Product Rule for Derivatives,uses,Complex functions often require using the product rule along with other rules.
Combining Differentiation Rules,Quotient Rule for Derivatives,uses,The quotient rule is frequently combined with other rules for complicated expressions.
Combining Differentiation Rules,Sum Rule for Derivatives,uses,Most complex derivatives involve sums or differences of simpler terms.
Derivative of Exponential Functions,Power Rule for Derivatives,related_to,Exponential functions differ fundamentally from power functions in their derivative behavior.
Instantaneous Rate of Change,Derivative at a Point,prerequisite,The derivative at a point is defined as the instantaneous rate of change.
Instantaneous Rate of Change,Average Rate of Change,prerequisite,Instantaneous rate is the limit of average rates of change as interval shrinks to zero.
Position-Velocity-Acceleration Relationship,Higher-Order Derivatives,prerequisite,"Acceleration is the second derivative of position, requiring understanding of higher-order derivatives."
Position-Velocity-Acceleration Relationship,Velocity as Derivative,prerequisite,Velocity is defined as the first derivative of position with respect to time.
Marginal Cost in Economics,Instantaneous Rate of Change,uses,Marginal cost applies the concept of instantaneous rate of change to economics contexts.
Population Growth Rate,Instantaneous Rate of Change,uses,Population growth rate is an application of instantaneous rate of change to population functions.
Related Rates Setup,Instantaneous Rate of Change,prerequisite,Related rates problems involve multiple instantaneous rates of change that are connected.
Speed versus Velocity Distinction,Position-Velocity-Acceleration Relationship,related_to,"Speed is the absolute value of velocity, distinguishing magnitude from directional velocity."
Interpreting Sign of Derivative,Instantaneous Rate of Change,uses,The sign of the derivative reveals whether the rate of change is positive or negative.
Units of Derivatives,Instantaneous Rate of Change,related_to,Units of derivatives follow from the rate of change interpretation of the derivative.
Special Trigonometric Limits,Combining Multiple Limit Laws,prerequisite,Special trigonometric limits require applying limit laws to evaluate quotients and products of trigonometric expressions.
Derivative of Sine Function,Derivative Function Definition,prerequisite,Proving the sine derivative requires applying the limit definition of derivative to sin(x).
Derivative of Sine Function,Special Trigonometric Limits,prerequisite,The proof of d/dx[sin(x)] = cos(x) fundamentally depends on the two special trigonometric limits.
Derivative of Cosine Function,Special Trigonometric Limits,prerequisite,The cosine derivative proof requires the same special trigonometric limits as sine.
Derivative of Cosine Function,Derivative Function Definition,prerequisite,The cosine derivative is proven using the limit definition of derivative.
Derivative of Tangent Function,Quotient Rule for Derivatives,prerequisite,Finding d/dx[tan(x)] requires applying the quotient rule to sin(x)/cos(x).
Derivative of Tangent Function,Derivative of Sine Function,prerequisite,The quotient rule application for tan(x) requires knowing the derivative of sin(x).
Derivative of Tangent Function,Derivative of Cosine Function,prerequisite,The quotient rule application for tan(x) requires knowing the derivative of cos(x).
Derivative of Secant Function,Quotient Rule for Derivatives,prerequisite,Differentiating sec(x) = 1/cos(x) requires the quotient rule.
Derivative of Secant Function,Derivative of Cosine Function,prerequisite,The secant derivative requires knowing that d/dx[cos(x)] = -sin(x).
Derivative of Cotangent Function,Quotient Rule for Derivatives,prerequisite,Finding d/dx[cot(x)] requires applying the quotient rule to cos(x)/sin(x).
Derivative of Cotangent Function,Derivative of Sine Function,prerequisite,The quotient rule application for cot(x) requires knowing the derivative of sin(x).
Derivative of Cotangent Function,Derivative of Cosine Function,prerequisite,The quotient rule application for cot(x) requires knowing the derivative of cos(x).
Derivative of Cosecant Function,Quotient Rule for Derivatives,prerequisite,Differentiating csc(x) = 1/sin(x) requires the quotient rule.
Derivative of Cosecant Function,Derivative of Sine Function,prerequisite,The cosecant derivative requires knowing that d/dx[sin(x)] = cos(x).
Higher-Order Trigonometric Derivatives,Derivative of Sine Function,uses,Finding higher-order derivatives involves repeatedly applying the basic trigonometric derivative rules starting with sine.
Higher-Order Trigonometric Derivatives,Higher-Order Derivatives,prerequisite,Understanding higher-order trigonometric derivatives requires the general concept of taking successive derivatives.
Composite Function Structure,Chain Rule Formula,prerequisite,Understanding function composition is essential before learning how to differentiate composite functions.
Identifying Inner and Outer Functions,Chain Rule Formula,prerequisite,Correctly decomposing a composite function is necessary to apply the chain rule formula.
Chain Rule Formula,Derivative Function Definition,prerequisite,"The chain rule is a technique for finding derivatives, which requires understanding what derivatives are."
Chain Rule with Power Functions,Chain Rule Formula,uses,This applies the general chain rule to the specific case where the outer function is a power.
Chain Rule with Power Functions,Power Rule for Derivatives,uses,The power function case uses the power rule as the derivative of the outer function.
Chain Rule with Trigonometric Functions,Chain Rule Formula,uses,This applies the general chain rule to cases involving trigonometric functions.
Chain Rule with Trigonometric Functions,Derivative of Sine Function,uses,Requires knowing basic trigonometric derivatives to apply the chain rule correctly.
Multiple Composition Chain Rule,Chain Rule Formula,uses,Extends the basic chain rule by applying it repeatedly to multiple layers of composition.
Chain Rule Combined with Other Rules,Chain Rule Formula,uses,Requires mastery of the chain rule before combining it with other differentiation rules.
Chain Rule Combined with Other Rules,Product Rule for Derivatives,uses,Often needs to be applied alongside the chain rule in complex differentiation problems.
Leibniz Notation for Chain Rule,Chain Rule Formula,related_to,Provides an alternative notation that emphasizes the structure of the chain rule.
Leibniz Notation for Chain Rule,Derivative Notation Equivalence,uses,Understanding different derivative notations helps interpret the Leibniz form of the chain rule.
Horizontal Line Test,Inverse Function Definition,uses,The horizontal line test determines whether an inverse function exists.
Inverse Function Derivative Theorem,Inverse Function Definition,prerequisite,You must understand inverse functions before differentiating them.
Inverse Function Derivative Theorem,Derivative Function Definition,prerequisite,The theorem applies derivative concepts to inverse relationships.
Power Functions with Rational Exponents,Power Rule for Derivatives,prerequisite,Rational exponents extend the power rule to fractional powers.
Power Functions with Rational Exponents,Inverse Function Derivative Theorem,uses,"Rational exponents can be viewed as inverse operations like roots, which are inverses of powers."
Derivative of Inverse Sine,Inverse Function Derivative Theorem,uses,Derived by applying the inverse function theorem to the sine function.
Derivative of Inverse Sine,Derivative of Sine Function,prerequisite,Computing the derivative of arcsin requires knowing the derivative of sine.
Derivative of Inverse Cosine,Inverse Function Derivative Theorem,uses,Derived by applying the inverse function theorem to the cosine function.
Derivative of Inverse Cosine,Derivative of Cosine Function,prerequisite,Computing the derivative of arccos requires knowing the derivative of cosine.
Derivative of Inverse Tangent,Inverse Function Derivative Theorem,uses,Derived by applying the inverse function theorem to the tangent function.
Derivative of Inverse Tangent,Derivative of Tangent Function,prerequisite,Computing the derivative of arctan requires knowing the derivative of tangent.
Chain Rule with Inverse Trigonometric Functions,Chain Rule Formula,prerequisite,Requires applying the chain rule to composite functions involving inverse trig functions.
Chain Rule with Inverse Trigonometric Functions,Derivative of Inverse Sine,uses,Uses derivatives of inverse trig functions as the outer function in the chain rule.
Implicit Differentiation Technique,Implicit versus Explicit Functions,prerequisite,Must understand the difference between explicit and implicit forms before learning how to differentiate implicitly.
Differentiating y Terms,Chain Rule Formula,prerequisite,Treating y as a function of x and multiplying by dy/dx is a direct application of the chain rule.
Implicit Differentiation Technique,Differentiating y Terms,uses,The core technique requires knowing how to differentiate terms containing y with respect to x.
Solving for dy/dx Algebraically,Implicit Differentiation Technique,uses,"After differentiating implicitly, algebraic manipulation is needed to isolate dy/dx."
Implicit Differentiation of Products,Product Rule for Derivatives,prerequisite,Differentiating products of x and y terms requires applying the product rule.
Implicit Differentiation of Products,Differentiating y Terms,uses,"When using product rule on terms with y, must apply dy/dx to the y factor."
Tangent Lines to Implicit Curves,Solving for dy/dx Algebraically,prerequisite,Must have dy/dx formula before evaluating it at a point to find tangent line slope.
Second Derivatives via Implicit Differentiation,Implicit Differentiation Technique,uses,Finding the second derivative requires applying implicit differentiation a second time.
Second Derivatives via Implicit Differentiation,Higher-Order Derivatives,related_to,This extends the concept of higher-order derivatives to implicitly defined functions.
Tangent Lines to Implicit Curves,Implicit Curves and Relations,uses,Understanding that implicit equations define curves is necessary for interpreting tangent lines geometrically.
Derivative of a^x,Derivative of e^x,prerequisite,The formula for a^x generalizes the e^x case and requires understanding e^x first.
Derivative of log_a(x),Derivative of Natural Logarithm,prerequisite,The general logarithm derivative is derived using ln(x) and change of base.
Chain Rule with Exponential Functions,Derivative of e^x,prerequisite,Must know the basic exponential derivative before applying chain rule to compositions.
Chain Rule with Exponential Functions,Chain Rule Formula,prerequisite,Requires understanding the general chain rule structure before applying to exponentials.
Chain Rule with Logarithmic Functions,Derivative of Natural Logarithm,prerequisite,Must know the basic logarithm derivative before applying chain rule to compositions.
Chain Rule with Logarithmic Functions,Chain Rule Formula,prerequisite,Requires understanding the general chain rule structure before applying to logarithms.
Logarithmic Differentiation Technique,Chain Rule with Logarithmic Functions,prerequisite,Logarithmic differentiation uses implicit differentiation after taking ln of both sides.
Logarithmic Differentiation Technique,Implicit Differentiation Technique,prerequisite,"After taking ln of both sides, implicit differentiation is used to solve for the derivative."
Logarithmic Differentiation Technique,Product Rule for Derivatives,uses,Logarithmic differentiation simplifies products that would otherwise require repeated product rule application.
Derivative of Variable Base and Exponent,Logarithmic Differentiation Technique,prerequisite,Functions like x^x require logarithmic differentiation to handle variable in both positions.
Derivative of Variable Base and Exponent,Chain Rule with Exponential Functions,uses,"After rewriting as an exponential, chain rule is applied to differentiate the result."
Related Rates Problem Structure,Instantaneous Rate of Change,prerequisite,Related rates extend the concept of instantaneous rate of change to multiple connected variables.
Implicit Time Differentiation,Chain Rule Formula,prerequisite,Differentiating variables with respect to time requires the chain rule since variables are implicit functions of time.
Implicit Time Differentiation,Implicit Differentiation Technique,prerequisite,The technique of differentiating both sides of an equation mirrors implicit differentiation applied to time.
Related Rates Solution Strategy,Related Rates Problem Structure,uses,The solution strategy provides a systematic method for solving related rates problems.
Related Rates Solution Strategy,Implicit Time Differentiation,uses,Step four of the strategy is differentiating the relating equation with respect to time.
Geometric Related Rates,Related Rates Solution Strategy,uses,"Geometric problems apply the general strategy to shapes with formulas for area, volume, or perimeter."
Pythagorean Related Rates,Related Rates Solution Strategy,uses,These problems use the standard strategy with the Pythagorean theorem as the relating equation.
Similar Triangles in Related Rates,Related Rates Solution Strategy,uses,Similar triangles provide a method to eliminate variables before applying the differentiation step.
Sign Interpretation in Related Rates,Interpreting Sign of Derivative,prerequisite,Understanding derivative signs is essential for correctly interpreting whether rates are positive or negative.
Rate Units and Consistency,Units of Derivatives,prerequisite,Understanding derivative units helps ensure rate calculations use consistent units throughout.
Linearization Function L(x),Tangent Line as Linear Approximation,uses,L(x) is the mathematical formula that implements tangent line approximation.
Tangent Line as Linear Approximation,Chain Rule Formula,prerequisite,Computing f'(a) often requires the chain rule for composite functions.
Approximation Error Analysis,Tangent Line as Linear Approximation,uses,Error analysis quantifies how well the tangent line approximates the function.
Differential dy Definition,Linearization Function L(x),related_to,Differentials represent the change in the linearization when x changes by dx.
Differential versus Actual Change,Differential dy Definition,uses,Understanding dy requires comparing it to the actual change Δy in function values.
Differential versus Actual Change,Differential dx as Independent Variable,prerequisite,Computing dy requires first establishing what dx represents.
Propagated Error Estimation,Differential dy Definition,uses,Error propagation uses the differential dy to estimate output error from input error.
Relative and Percent Error,Propagated Error Estimation,uses,Relative error normalizes propagated error by dividing by the function value.
Local Extrema Definition,Absolute Extrema Definition,related_to,"Absolute extrema are global versions of local extrema, comparing to all points rather than nearby points."
Critical Point Identification,Derivative of Natural Logarithm,prerequisite,Finding critical points requires computing derivatives of various functions including logarithms.
Critical Point Identification,Chain Rule Formula,prerequisite,Complex functions require the chain rule to compute derivatives when finding critical points.
Fermat's Theorem on Local Extrema,Local Extrema Definition,uses,The theorem characterizes where local extrema can occur for differentiable functions.
Fermat's Theorem on Local Extrema,Critical Point Identification,uses,The theorem establishes that local extrema must occur at critical points where f'(c) = 0.
Extreme Value Theorem,Absolute Extrema Definition,uses,The theorem guarantees existence of absolute extrema under continuity and closed interval conditions.
Closed Interval Method,Extreme Value Theorem,uses,The method provides an algorithm to find the extrema whose existence is guaranteed by the theorem.
Closed Interval Method,Critical Point Identification,uses,The method requires finding all critical points in the interval as candidates for extrema.
Endpoint Evaluation Strategy,Closed Interval Method,prerequisite,Evaluating endpoints is an essential step in the closed interval method for finding absolute extrema.
Rolle's Theorem Statement,Critical Point Identification,uses,Rolle's Theorem guarantees the existence of a critical point where the derivative equals zero.
Rolle's Theorem Statement,Fermat's Theorem on Local Extrema,related_to,"Both theorems concern points where f'(c)=0, though Rolle's requires specific endpoint conditions."
Mean Value Theorem Statement,Rolle's Theorem Statement,prerequisite,"Rolle's Theorem is a special case of MVT when f(a)=f(b), and MVT's proof uses Rolle's Theorem."
MVT Hypothesis Verification,Mean Value Theorem Statement,prerequisite,You must verify the hypotheses before applying any theorem to ensure validity.
Finding c in MVT,Mean Value Theorem Statement,uses,Finding c requires setting up and solving the equation guaranteed by MVT.
Corollary: Zero Derivative Implies Constant,Mean Value Theorem Statement,uses,The proof applies MVT to show f(b)-f(a)=f'(c)(b-a)=0 for any two points.
Corollary: Same Derivative Implies Differ by Constant,Corollary: Zero Derivative Implies Constant,uses,This follows by applying the zero derivative corollary to the difference function f-g.
MVT Geometric Interpretation,Mean Value Theorem Statement,related_to,The geometric interpretation visualizes the algebraic statement of MVT using tangent and secant lines.
MVT Application to Inequalities,Mean Value Theorem Statement,uses,Inequality problems use the MVT equation f(b)-f(a)=f'(c)(b-a) combined with bounds on the derivative.
MVT Geometric Interpretation,Tangent Line as Linear Approximation,related_to,Both concepts involve understanding tangent lines and how they relate to function behavior over intervals.
First Derivative Test for Increasing/Decreasing,Critical Point Identification,prerequisite,Must find critical points to divide the domain into intervals for testing the derivative's sign.
First Derivative Test for Increasing/Decreasing,Corollary: Zero Derivative Implies Constant,related_to,Both concepts connect derivative sign to function behavior on intervals.
First Derivative Test for Local Extrema,First Derivative Test for Increasing/Decreasing,uses,Detecting sign changes in f' requires knowing where f' is positive or negative.
